symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,score,pnl,ret_pct,holding_days
ICICIBANK,2025-05-23,2025-06-04,1445.35,1427.75,81,stop,Pin Bar,9.0,-1425.5999999999926,-1.2176981353997252,12
MCX,2025-06-16,2025-06-23,1538.05,1666.2499999999998,76,target,Bullish Engulfing,7.0,9743.199999999986,8.33522967393776,7
MUTHOOTFIN,2025-06-26,2025-06-27,2590.05,2534.0499999999997,46,stop,Pin Bar,9.0,-2576.000000000021,-2.1621204223856827,1
CDSL,2025-06-23,2025-06-30,1688.95,1801.55,70,target,Bullish Engulfing,10.0,7881.999999999994,6.666864027946362,7
BEL,2025-06-16,2025-07-01,397.8,434.50000000000006,295,target,Bullish Engulfing,10.0,10826.500000000013,9.225741578682767,15
AUBANK,2025-06-17,2025-07-01,783.55,836.7499999999998,150,target,Bullish Engulfing,7.0,7979.999999999973,6.789611384085226,14
NAM-INDIA,2025-05-13,2025-07-15,688.25,838.8499999999999,168,target,Morning Star,7.0,25300.799999999985,21.881583726843434,63
HAL,2025-05-22,2025-07-18,5009.95,4779.25,23,stop,Bullish Engulfing,7.0,-5306.099999999996,-4.604836375612531,57
ABCAPITAL,2025-07-22,2025-07-25,272.5,262.9,449,stop,Bullish Engulfing,10.0,-4310.400000000011,-3.5229357798165273,3
BAJAJFINSV,2025-05-06,2025-08-01,2036.6499999999999,1917.15,56,stop,Morning Star,8.0,-6691.999999999987,-5.8674784572705025,87
MUTHOOTFIN,2025-06-30,2025-08-12,2589.25,2515.95,46,stop,Pin Bar,9.0,-3371.8000000000084,-2.830935599111717,43
RBLBANK,2025-08-08,2025-08-12,270.05,256.9,448,stop,Bullish Engulfing,10.0,-5891.200000000015,-4.8694686169228,4
INDIGO,2025-08-12,2025-08-28,5905.05,5734.45,20,stop,Bullish Engulfing,8.0,-3412.0000000000073,-2.8890525905792552,16
CUMMINSIND,2025-08-29,2025-09-09,3857.05,4016.6500000000005,31,target,Pin Bar,9.0,4947.600000000011,4.137877393344658,11
GVT&D,2025-09-01,2025-09-19,2802.05,3100.250000000001,42,target,Morning Star,8.0,12524.40000000003,10.642208383148088,18
POLYCAB,2025-09-16,2025-09-22,7280.05,7580.250000000001,16,target,Pin Bar,9.0,4803.200000000012,4.123598052211186,6
RBLBANK,2025-09-19,2025-10-01,273.25,262.65,445,stop,Bullish Engulfing,10.0,-4717.00000000001,-3.8792314730100697,12
ASHOKLEY,2025-09-29,2025-10-03,143.05,138.95999999999998,853,stop,Bullish Engulfing,7.0,-3488.7700000000273,-2.859140160782969,4
LTF,2025-09-30,2025-10-16,247.60000000000002,272.80000000000007,492,target,Bullish Engulfing,10.0,12398.400000000023,10.1777059773829,16
