symbol,old_sector_constituents_based,new_sector_indexlist_based,category,weight_available,chosen_weightage,n_sectoral_candidates,n_thematic_candidates,changed,newly_filled
ETERNAL,NIFTY INTERNET,NIFTY INTERNET,THEMATIC INDICES,True,21.53,0,8,False,False
FEDERALBNK,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,7.69,2,1,False,False
FORTIS,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,SECTORAL INDICES,True,7.12,3,3,False,False
GAIL,NIFTY OIL AND GAS,NIFTY OIL AND GAS,SECTORAL INDICES,True,7.72,1,5,False,False
GLENMARK,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,SECTORAL INDICES,True,5.27,4,1,False,False
GMRAIRPORT,NIFTY IND TOURISM,NIFTY IND TOURISM,THEMATIC INDICES,True,16.4,0,5,False,False
GODFRYPHLP,,,,False,,0,0,False,False
GODREJCP,NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES,True,3.75,1,3,False,False
GODREJPROP,NIFTY REALTY,NIFTY REALTY,SECTORAL INDICES,True,12.33,2,6,False,False
GRASIM,NIFTY CEMENT,NIFTY CEMENT,SECTORAL INDICES,True,15.65,1,7,False,False
GVT&D,NIFTY ENERGY,NIFTY ENERGY,THEMATIC INDICES,True,3.23,0,3,False,False
HAL,NIFTY IND DEFENCE,NIFTY IND DEFENCE,THEMATIC INDICES,True,21.83,0,4,False,False
HAVELLS,NIFTY CONSR DURBL,NIFTY CONSR DURBL,SECTORAL INDICES,True,8.6,1,9,False,False
HCLTECH,NIFTY IT,NIFTY IT,SECTORAL INDICES,True,11.84,1,2,False,False
HDFCAMC,NIFTY FINSEREXBNK,NIFTY FINSEREXBNK,SECTORAL INDICES,True,2.83,1,2,False,False
HDFCBANK,NIFTY PVT BANK,NIFTY PVT BANK,SECTORAL INDICES,True,19.59,2,2,False,False
HDFCLIFE,NIFTY FINSEREXBNK,NIFTY FINSEREXBNK,SECTORAL INDICES,True,3.22,2,2,False,False
HEROMOTOCO,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,5.8,1,8,False,False
HINDALCO,NIFTY METAL,NIFTY METAL,SECTORAL INDICES,True,18.0,1,3,False,False
HINDPETRO,NIFTY OIL AND GAS,NIFTY OIL AND GAS,SECTORAL INDICES,True,5.84,1,7,False,False
HINDUNILVR,NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES,True,18.47,1,3,False,False
HINDZINC,NIFTY METAL,NIFTY METAL,SECTORAL INDICES,True,3.31,1,1,False,False
HYUNDAI,NIFTY MOBILITY,NIFTY MOBILITY,THEMATIC INDICES,True,1.6,0,6,False,False
ICICIBANK,NIFTY PVT BANK,NIFTY PVT BANK,SECTORAL INDICES,True,21.95,2,2,False,False
ICICIGI,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,3.5,3,0,False,False
ICICIPRULI,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,1.77,2,1,False,False
IDEA,NIFTY MS IT TELCM,NIFTY MS IT TELCM,SECTORAL INDICES,True,8.66,1,6,False,False
IDFCFIRSTB,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,5.08,2,1,False,False
IEX,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,0.88,1,1,False,False
INDHOTEL,NIFTY IND TOURISM,NIFTY IND TOURISM,THEMATIC INDICES,True,19.68,0,6,False,False
INDIANB,NIFTY PSU BANK,NIFTY PSU BANK,SECTORAL INDICES,True,8.47,2,2,False,False
INDIGO,NIFTY IND TOURISM,NIFTY IND TOURISM,THEMATIC INDICES,True,20.4,0,10,False,False
INDUSINDBK,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,5.97,2,2,False,False
INDUSTOWER,NIFTY MS IT TELCM,NIFTY MS IT TELCM,SECTORAL INDICES,True,11.5,1,3,False,False
INFY,NIFTY IT,NIFTY IT,SECTORAL INDICES,True,29.67,1,2,False,False
INOXWIND,NIFTY ENERGY,NIFTY ENERGY,THEMATIC INDICES,True,0.43,0,4,False,False
IOC,NIFTY OIL AND GAS,NIFTY OIL AND GAS,SECTORAL INDICES,True,8.61,1,5,False,False
IREDA,,,,False,,0,0,False,False
IRFC,NIFTY FINSEREXBNK,NIFTY FINSEREXBNK,SECTORAL INDICES,True,0.99,1,1,False,False
