symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,ema13_gt_ema21
MOTILALOFS,2023-10-23,2024-01-18,230.4,345.3708156967986,1066,stop,NIFTY CAPITAL MKT,122558.88953278732,49.90052764617996,87,True
PRESTIGE,2023-10-13,2024-01-23,716.05,1191.1690246177827,241,stop,NIFTY REALTY,114503.68493288563,66.35277209940406,102,True
OBEROIRLTY,2024-01-01,2024-01-23,1448.55,1441.769813887543,229,stop,NIFTY REALTY,-1552.6626197526373,-0.4680671093477584,22,True
PHOENIXLTD,2024-01-17,2024-01-25,1209.2,1148.1,258,rebalance,NIFTY REALTY,-15763.800000000036,-5.052927555408548,8,True
BDL,2024-01-10,2024-02-07,868.0,877.35,432,rebalance,NIFTY IND DEFENCE,4039.20000000001,1.0771889400921664,28,True
GODREJPROP,2024-01-23,2024-02-08,2268.95,2226.5007128696634,160,stop,NIFTY REALTY,-6791.8859408538265,-1.8708780330256916,16,True
PFC,2023-12-20,2024-02-09,381.9726072607261,418.7401059549218,606,stop,NIFTY FINSEREXBNK,22281.10420868259,9.625689904276037,51,True
BEL,2023-12-20,2024-02-09,167.30623655913976,178.48584561089123,1395,stop,NIFTY IND DEFENCE,15595.5546271933,6.68212332168483,51,True
NBCC,2024-01-23,2024-02-09,65.73,94.24342450602046,3869,stop,NIFTY MULTI INFRA,110318.43941379317,43.37962042601622,17,True
RECLTD,2023-12-20,2024-02-09,404.45,482.4,815,rebalance,NIFTY FINSEREXBNK,63529.24999999999,19.273086908146865,51,True
HAL,2023-12-20,2024-02-12,2665.9,2829.8151722319003,86,stop,NIFTY IND DEFENCE,14096.704811943418,6.148586677365997,54,True
NBCC,2024-02-09,2024-02-12,98.63,88.77,4014,rebalance,NIFTY MULTI INFRA,-39578.04,-9.996958329108786,3,True
BHEL,2023-12-21,2024-02-13,182.9945038167939,208.48277564042493,1310,stop,NIFTY ENERGY,33389.63608895666,13.92843571364788,54,True
PHOENIXLTD,2024-02-07,2024-02-13,1380.75,1246.7855897893485,274,stop,NIFTY REALTY,-36706.24839771858,-9.70229297198274,6,True
UNIONBANK,2024-02-08,2024-02-13,137.02,126.38803173486758,2599,stop,NIFTY PSU BANK,-27632.485521079183,-7.759428014255166,5,True
PRESTIGE,2024-01-25,2024-02-13,1204.7,1143.3,245,rebalance,NIFTY REALTY,-15043.000000000022,-5.096704573752808,19,True
OFSS,2024-02-12,2024-02-21,6554.5,7077.0,53,rebalance,NIFTY MS IT TELCM,27692.5,7.971622549393542,9,True
MOTILALOFS,2024-01-18,2024-02-22,380.9,412.4160509825046,967,stop,NIFTY CAPITAL MKT,30476.02130008197,8.27410107180484,35,True
COALINDIA,2024-02-09,2024-02-22,428.4,403.81762436307065,786,stop,NIFTY ENERGY,-19321.747250626453,-5.738182921785562,13,True
NBCC,2024-02-22,2024-02-26,97.33,93.13,4021,rebalance,NIFTY MULTI INFRA,-16888.20000000001,-4.315216274529954,4,True
IOC,2024-02-09,2024-02-28,166.66401892744477,152.3117515661272,1585,stop,NIFTY OIL AND GAS,-22748.34376768833,-8.61149722278427,19,True
PRESTIGE,2024-02-26,2024-02-29,1222.9,1166.75,306,rebalance,NIFTY REALTY,-17181.900000000027,-4.591544688854365,3,False
