symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,grade,pnl,ret_pct,holding_days
PHOENIXLTD,2024-06-06,2024-07-09,1660.8744299484965,2008.5832898454896,148,target,Pin Bar (Stopping Vol),A,51460.91126475498,20.93528888320446,33
SIEMENS,2024-07-11,2024-07-15,6044.0,5778.1206,41,stop,Pin Bar (Stopping Vol),A,-10901.055399999992,-4.39906353408338,4
KEI,2024-07-02,2024-07-18,4517.045219339648,4392.198,54,stop,Pin Bar (Stopping Vol),A,-6741.749844340959,-2.763913427413045,16
LT,2024-07-09,2024-07-22,3653.6121310867566,3586.812,69,stop,Pin Bar (Stopping Vol),A+,-4609.20904498621,-1.8283312155219722,13
BAJAJ-AUTO,2024-06-05,2024-07-23,9163.885945376447,8573.319,26,stop,Pin Bar (Stopping Vol),A+,-15354.740579787638,-6.444503444244775,48
NESTLEIND,2024-07-18,2024-07-23,1311.7268936163914,1281.931,191,stop,Pin Bar (Stopping Vol),A+,-5691.015680730751,-2.271501313375146,5
SUNPHARMA,2024-07-15,2024-07-25,1590.4739711862114,1677.621913558634,159,target,Pin Bar (Stopping Vol),A+,13856.522837215205,5.479369291873781,10
GRASIM,2024-07-23,2024-08-05,2828.3430742901883,2696.596,86,stop,Bullish Engulfing,A,-11330.248388956192,-4.658100903238271,13
TECHM,2024-07-29,2024-08-05,1482.5315822320379,1379.6352000000002,169,stop,Pin Bar (Stopping Vol),A+,-17389.48859721437,-6.940586188195819,7
PATANJALI,2024-07-22,2024-08-06,537.1955697204597,588.1,459,target,Pin Bar (Stopping Vol),A,23365.133498308995,9.47595869154867,15
TECHM,2024-08-12,2024-08-20,1454.4313930399887,1534.562979119966,170,target,Morning Star,A,13622.36963359614,5.509478581350602,8
CIPLA,2024-06-05,2024-08-27,1490.0,1610.5692199144169,164,target,Pin Bar (Stopping Vol),A,19773.352065964365,8.091893953987706,83
HDFCBANK,2024-08-29,2024-08-30,821.1284654383273,813.4698000000001,308,stop,Pin Bar (Stopping Vol),A+,-2358.8689550047966,-0.9327000293722576,1
SRF,2024-08-30,2024-09-09,2555.53324551045,2498.9420999999998,99,stop,Pin Bar (Stopping Vol),A,-5602.523405534563,-2.2144554609050515,10
INFY,2024-09-05,2024-09-09,1889.6672584395621,1856.0804,134,stop,Pin Bar (Stopping Vol),A,-4500.63903090132,-1.777395374215096,4
BSE,2024-09-10,2024-09-16,952.9205912078712,1034.4177736236136,262,target,Pin Bar (Stopping Vol),A,21352.261792924503,8.552358209873589,6
TCS,2024-09-05,2024-09-18,4495.073610326483,4427.826599999999,56,stop,Pin Bar (Stopping Vol),A,-3765.832578283058,-1.4960157754034809,13
