symbol,entry_date,ret_pct,win,score,rsi,rvol,er14,risk_pct,holding_days,wick_ratio,body_ratio
OBEROIRLTY,2024-01-20,-2.067072226593148,False,90.0,57.31223614921459,1.170518695392989,0.2100790219173995,2.0670722265931447,3,69.0721649484536,20.618556701030926
ADANIPOWER,2024-01-23,-2.768382352941179,False,80.0,57.088049675373036,0.5145354329419976,0.15999999999999953,2.406062743978777,1,64.99999999999986,2.499999999999858
GODFRYPHLP,2024-02-12,10.221516652704013,True,75.0,56.84557207766117,0.37237383194833445,0.20622568093385213,5.110758326352003,7,83.33333333333334,8.333333333333332
SIEMENS,2024-03-18,-3.3439338353896897,False,75.0,65.43884625042622,0.9467770036487464,0.2913488372093025,3.343933835389685,1,61.99052132701431,2.41706161137458
ABB,2024-03-15,5.853806456437338,True,85.0,64.94082274083627,0.40424428209502233,0.24382216185152228,2.9269032282186727,7,68.61894432393314,7.592190889370923
ZYDUSLIFE,2024-03-21,-4.301349758312522,False,95.0,63.031007595815744,1.5986138689360547,0.15766969535008024,4.301349758312526,25,62.51655629139079,4.105960264900542
BAJAJ-AUTO,2024-04-12,-2.077128037255749,False,85.0,59.05124785242615,0.5696619021770833,0.2641719155242683,2.077128037255749,4,70.24221453287197,19.72318339100346
ABB,2024-04-30,4.201538461538457,True,85.0,56.4712537490286,0.44337672707884507,0.12908288667120785,2.2286341482935503,3,89.49891067538111,7.581699346405863
MOTILALOFS,2024-05-16,-4.153405201916483,False,80.0,55.85517241519652,0.45915717343556756,0.07037575254307689,2.9225899671502145,6,68.07692307692325,9.230769230768706
PHOENIXLTD,2024-06-06,20.93528888320446,True,70.0,57.242731330439184,0.4933992856558589,0.28488089450656284,10.467644441602232,33,74.14965986394562,11.811997526283182
M&M,2024-07-08,-2.0367885884815085,False,85.0,60.19154793837649,0.6027584472737999,0.11037020004598745,2.0367885884815045,2,88.26086956521719,11.739130434782806
SIEMENS,2024-07-11,-4.39906353408338,False,80.0,61.91374938503642,0.7371576463665814,0.24582602155928837,3.8368773266769947,4,75.7960199004977,17.686567164179195
GVT&D,2024-07-12,-5.731958340504296,False,70.0,67.34313538000939,0.6070659464132103,0.24980764298538105,5.731958340504291,6,81.86046511627919,2.267441860464905
PETRONET,2024-07-23,-2.9532869165728948,False,90.0,58.381710622046185,1.2396732365742988,0.14937759336099565,2.953286916572894,1,67.68292682926852,11.585365853658413
ADANIPOWER,2024-06-06,-18.660724509864124,False,90.0,56.494018634620694,2.348819046619855,0.1860215053763439,18.660724509864117,67,62.07513416815743,10.91234347048305
PGEL,2024-07-24,23.66309415539296,True,85.0,59.808429068476755,1.0024628327794403,0.13204373423044574,12.450428391409238,23,75.05567928730514,3.5634743875278923
NAUKRI,2024-07-24,8.983385203995198,True,75.0,58.91776724157934,0.6378389501003939,0.1102803738317757,4.491692601997601,35,66.96428571428571,12.5
LUPIN,2024-09-26,-2.003707529499821,False,90.0,57.18979297992917,1.0700248138916921,0.1970907016543067,2.003707529499819,1,74.6835443037976,3.094233473980038
TECHM,2024-10-21,-5.882200802251091,False,85.0,58.84968814056594,1.2579437374854165,0.22447761194029797,3.779295914573344,10,74.26470588235287,12.500000000000366
TECHM,2024-12-12,-1.513272809919031,False,85.0,58.104292528609854,0.7118354814430995,0.266299357208449,1.5132728099190278,7,65.07936507936573,10.58201058201053
